endpoint,contrast,sex,city,agxcat,agecat,agex,age,year,pyr,dose,dose_level,pihat,cate,cate_lo,cate_hi,logRR,rr
solid,control_vs_moderate,2,1,4,7,17.943,32.034,1959.688,2155.25051,1.1e-4,control,0.4735564976119474,21.322259163175833,-5.0491972185486285,61.88971153325566,0.24090591790922508,1.2864226207995542
solid,control_vs_moderate,2,2,7,15,31.805,73.153,1986.953,10.07725,0.08898,control,0.4202400264017843,93.5707027096523,-192.89732307530923,504.6652641564899,0.07341664777228038,1.0859185252063226
solid,control_vs_moderate,2,2,13,16,62.946,76.98,1959.642,68.05178,0.01058,control,0.3792221283981262,143.3435436608498,-105.33551581853953,528.9748085255156,0.1493748841492765,1.1735252568360601
solid,control_vs_moderate,1,1,2,12,9.934,55.17,1990.832,0.51007,0.21012,moderate,0.467875718517161,199.15261043623218,-109.3946195864989,704.483636556298,0.14135380479266968,1.1601895557545097
solid,control_vs_moderate,1,1,15,18,73.561,87.56,1959.598,24.40926,0.011,control,0.37629833415749164,269.55683094744967,-53.319639605163445,773.6015662026186,0.1807100905483898,1.2063674640900193
solid,control_vs_moderate,2,1,12,14,56.23,69.265,1958.634,15.46437,0.16243,moderate,0.41288163012991824,108.99674630533075,-219.02457496837704,535.4812836707165,0.09417398597913183,1.1138905333281788
solid,control_vs_moderate,1,1,4,15,18.52,70.911,1997.988,13.84681,0.18549,moderate,0.4521377413963892,833.2079085374982,79.5278545906783,2052.549181036716,0.30416095696172074,1.3712066976302686
solid,control_vs_moderate,2,1,5,14,21.327,68.359,1992.629,120.0412,0.13706,moderate,0.45907454837478895,159.59601550245372,-253.54725303172245,657.8563115822254,0.1319971322979471,1.1591870370598574
solid,control_vs_moderate,2,2,4,12,19.874,55.136,1980.869,0.21924,0.16485,moderate,0.440780801213712,132.41708596474248,-29.29606572002669,461.1827847543804,0.24113857136797287,1.2896804690704389
solid,control_vs_moderate,2,2,6,11,28.163,51.776,1969.218,856.17822,3.1e-4,control,0.43077320608454095,92.31446763323652,-32.95116356074018,284.3236960306593,0.22808346213193317,1.2741177428369295
solid,control_vs_moderate,2,1,8,16,38.397,76.865,1984.065,169.8032,0.11323,moderate,0.4341581952339505,139.7175045836624,-229.74691759384052,572.0065925018305,0.09999237713591323,1.1165039992423247
solid,control_vs_moderate,1,1,11,18,52.769,86.355,1979.186,21.46904,0.13523,moderate,0.4030999929748794,469.48298910024704,-103.73776222483612,1297.685365788317,0.18024172322910265,1.205678803898749
solid,control_vs_moderate,2,2,8,18,38.557,86.823,1993.871,6.05355,0.18883,moderate,0.40780650317044453,218.53988019129793,-404.44595925934976,1074.3205390733565,0.08772974952865331,1.1032206972856349
solid,control_vs_moderate,2,2,5,8,21.484,38.441,1962.562,74.59058,0.04789,control,0.4431949822205978,50.27853402499713,-7.964628895422186,144.45886229675796,0.2637997802184118,1.3181059208108719
solid,control_vs_moderate,2,2,3,12,14.245,55.848,1987.209,188.20707,0,control,0.44803308024572674,106.93634608075197,-38.80781630934646,329.4785629234651,0.20543394848006247,1.2407526291622522
solid,control_vs_moderate,2,2,9,13,44.997,60.197,1960.808,0.37365,0.06827,control,0.4065669603412833,67.05925869246676,-93.38275715952483,298.1895742837,0.15161637772763464,1.186513104543301
solid,control_vs_moderate,2,1,1,11,1.824,53.428,1997.2,97.26397,0.1386,moderate,0.4892240753192222,104.14646487760834,-32.04940059405155,265.769624397869,0.20165824411718747,1.2354044590995916
solid,control_vs_moderate,2,2,6,17,29.81,80.103,1995.898,0.70029,0.01275,control,0.4209766590568728,259.74238746048826,-250.47739802711493,1132.9532558362366,0.14167963382979762,1.166497314755029
solid,control_vs_moderate,1,2,10,15,47.555,71.121,1969.173,8.19176,0.14236,moderate,0.3907592731758793,187.73396963913328,-233.80010038872322,740.7335488599891,0.1024814552197963,1.118774397346518
solid,control_vs_moderate,2,2,4,13,19.23,60.827,1987.203,12.39855,0.2229,moderate,0.4400841411670312,125.92077572953576,-135.91104367110816,489.36713381941894,0.1397661307409444,1.166182854701506
solid,control_vs_moderate,2,1,2,12,7.888,56.644,1994.352,52.44209,0.26949,moderate,0.4802237641195607,118.15162853958778,-35.789852949317925,322.9062673683332,0.20140949038477618,1.2349879936110373
solid,control_vs_moderate,1,1,13,17,62.887,81.216,1963.928,11.29235,0.17035,moderate,0.3914776483901688,461.62339659676775,-88.36892635533415,1255.4892352415175,0.18037369436859055,1.2058435661386657
solid,control_vs_moderate,2,2,12,17,56.471,83.281,1972.419,7.09804,0.13648,moderate,0.3857741874937449,311.5213292443053,-203.53539097014172,1052.0918460104856,0.1525854613652203,1.1756328412233366
solid,control_vs_moderate,2,1,1,8,4.814,35.11,1975.892,1.08706,0.09278,control,0.49026991633748035,16.559203594938523,-4.899121660073308,48.473887876089165,0.20133501748915344,1.2349906444926166
